127.0.0.1 - - [26/Dec/2015:12:15:02 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:15:12 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:15:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/BookServlet?method=listImg HTTP/1.1" 200 19940
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:15:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:15:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:15:57 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/users/login.jsp HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "POST /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/realpage.jsp HTTP/1.1" 200 27786
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.js HTTP/1.1" 404 1202
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.css HTTP/1.1" 404 1204
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-1.11.3.js HTTP/1.1" 404 1210
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.js HTTP/1.1" 404 1202
0:0:0:0:0:0:0:1 - - [26/Dec/2015:12:16:00 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.css HTTP/1.1" 404 1204
